Disclosure Review Board Approval Approval nos. CBDRB-FY23-0319, CBDRB-FY2023-CES005-024, and CBDRB-FY24-0456
sample,stfips,n,mean_age,mean_female,mean_married,mean_ranked_school,mean_top5_school,mean_ptotinc,mean_logptotinc,mean_totw2comp,mean_adjgross,mean_logadjgross,mean_top1,mean_with25kbizinc,mean_retired_1099ssa,mean_wkh,mean_income_acs,mean_primary_care,mean_fe_cz,mean_fe_id,mean_logptotinctwfe
physicians; year 2017; all ages,1,9500,50.56,0.31,0.86,0.53,0.02,367100,12.49,264300,433100,12.69,0.27,0.37,0.07,50.32,245200,0.44,,,
physicians; year 2017; all ages,2,2000,48.98,0.40,0.59,0.54,0.04,387900,12.35,258100,368800,11.47,0.20,0.25,0.05,53.29,237700,0.49,,,
physicians; year 2017; all ages,4,17000,49.67,0.35,0.77,0.38,0.04,358400,12.38,232600,432900,12.57,0.24,0.34,0.08,49.75,218700,0.41,,,
physicians; year 2017; all ages,5,5800,50.19,0.29,0.85,0.12,0.01,361100,12.52,276000,417200,12.68,0.26,0.35,0.08,50.90,241400,0.45,,,
physicians; year 2017; all ages,6,96500,49.60,0.40,0.77,0.65,0.12,363600,12.41,219500,459900,12.65,0.25,0.37,0.07,47.27,234300,0.45,,,
physicians; year 2017; all ages,8,17000,49.21,0.41,0.81,0.56,0.05,317700,12.31,218700,386400,12.53,0.21,0.31,0.07,48.28,208600,0.44,,,
physicians; year 2017; all ages,9,11500,50.66,0.40,0.83,0.52,0.10,395700,12.49,252900,496900,12.75,0.28,0.34,0.07,49.52,236100,0.40,,,
physicians; year 2017; all ages,10,2100,49.83,0.40,0.82,0.53,0.06,315300,12.34,227500,392900,12.58,0.22,0.33,0.07,48.75,203500,0.48,,,
physicians; year 2017; all ages,11,2500,45.64,0.51,0.59,0.57,0.09,304300,12.26,209200,382200,12.48,0.17,0.23,0.05,46.65,223700,0.46,,,
physicians; year 2017; all ages,12,55500,50.72,0.33,0.78,0.46,0.04,369600,12.39,237500,444100,12.58,0.24,0.35,0.09,49.92,228100,0.42,,,
physicians; year 2017; all ages,13,22500,49.04,0.37,0.81,0.38,0.04,362000,12.43,240200,443900,12.63,0.26,0.35,0.06,50.58,224900,0.43,,,
